,metric,pearson,p_pearson,spearman,p_spearman,kendall,p_kendall
0,acc,1.0,0.0,1.0,0.0,1.0,0.0004
1,background_recall,0.8198,0.024,0.8571,0.0137,0.7143,0.0302
2,ques_recall,0.6863,0.0886,0.6429,0.1194,0.4286,0.2389
3,bleu4,0.0878,0.8515,0.4643,0.2939,0.3333,0.3813
4,bleu1,-0.8858,0.0079,-0.8571,0.0137,-0.7143,0.0302
5,meteor,-0.7769,0.0399,-0.8571,0.0137,-0.7143,0.0302
6,rouge1,-0.8971,0.0062,-0.8929,0.0068,-0.8095,0.0107
7,rouge2,-0.3337,0.4645,-0.2857,0.5345,-0.2381,0.5619
8,rougeL,-0.8711,0.0107,-0.8214,0.0234,-0.619,0.069
9,rougeLsum,-0.8657,0.0118,-0.8214,0.0234,-0.619,0.069
10,bertscore_f1,-0.9021,0.0055,-0.8929,0.0068,-0.8095,0.0107
