background,question,option,ground_truth,prediction,acc,explanation,bleu4,bleu1,meteor,rouge1,rouge2,rougeL,rougeLsum,bertscore_f1,bertscore_f1_avg_sent,bertscore_f1_max_sent
"An 18-month-old boy, with complete immunization schedule to date, who consults the Emergency Department for right knee swelling after playing in the park, without obvious trauma. In the directed anamnesis, the mother refers that an uncle of hers had similar problems. The ultrasound examination is compatible with hemarthrosis and in the analytical analysis only an APTT lengthening of 52'' (normal 25-35'') stands out. What is the most probable diagnostic hypothesis?",What is the most probable diagnostic hypothesis?,"
A. Marfan syndrome 
B. Von-Willebrand's disease 
C. Ehlers-Danlos disease 
D. Hemophilia A 
E. Bernard-Soulier disease
",D,D,True,"Hemophilia A is the most likely diagnosis given the clinical presentation and laboratory findings. Here’s a detailed breakdown of why this is the case and why the other options are less likely: - Hemophilia A: This is an X-linked recessive disorder characterized by a deficiency in clotting factor VIII. It commonly presents with spontaneous bleeding into joints (hemarthrosis) and soft tissues, often without a history of significant trauma. The prolonged APTT (activated partial thromboplastin time) seen in the patient's blood test is indicative of a coagulation factor deficiency, which is consistent with Hemophilia A. Additionally, the family history provided by the mother, mentioning that an uncle had similar problems, supports the genetic nature of the condition. - Marfan Syndrome: This is a connective tissue disorder characterized by abnormalities in the cardiovascular system, skeleton, eyes, and skin. While it can cause joint hypermobility, it does not typically present with hemarthrosis or prolonged APTT. Therefore, it is not relevant to the current clinical scenario. - Von Willebrand Disease: This is another inherited bleeding disorder but is caused by a deficiency or defect in von Willebrand factor, which affects platelet adhesion and factor VIII stability. It usually results in mucocutaneous bleeding rather than hemarthrosis. Although it can also cause a prolonged APTT, it is less likely in this context due to the specific presentation of hemarthrosis and the strong family history pointing towards a factor VIII deficiency. - Ehlers-Danlos Syndrome: This is a group of hereditary connective tissue disorders characterized by joint hypermobility, skin extensibility, and tissue fragility. While it can lead to joint issues, it does not typically cause hemarthrosis or prolonged APTT. The absence of characteristic features such as skin hyperextensibility or atrophic scarring makes this diagnosis unlikely. - Bernard-Soulier Syndrome: This is a rare autosomal recessive disorder characterized by a defect in platelet glycoprotein Ib, leading to giant platelets and a bleeding tendency. It does not typically cause hemarthrosis or prolonged APTT. The clinical presentation and laboratory findings do not align with this condition. In conclusion, the combination of hemarthrosis, a positive family history, and a prolonged APTT strongly suggests Hemophilia A as the most probable diagnosis.",0.0,0.0099,0.0785,0.022,0.0166,0.022,0.022,0.3811,0.5665,0.6615
"We are consulted by an 84-year-old woman for insomnia of conciliation. After failing sleep hygiene measures, it is decided to initiate pharmacological treatment. Which of the following drugs would you select for the patient?",Which of the following drugs would you select for the patient?,"
A. Diacepam 
B. Lormetacepam 
C. Phenobarbital 
D. Chlordiazepoxide 
E. Chloracepate
",B,D,False,"When considering pharmacological treatment for an elderly patient suffering from insomnia, it's crucial to choose a medication that balances efficacy with safety, particularly in terms of side effects and potential interactions with other medications commonly used in geriatric patients. Here’s a breakdown of each option: A. Diacepam (likely meant Diazepam) - While diazepam can be effective for short-term use in treating insomnia, it has a high risk of causing sedation, cognitive impairment, and falls in elderly patients. It also has a long half-life which can lead to residual effects the next day. B. Lormetazepam - This is a shorter-acting benzodiazepine that might be less problematic than longer-acting ones like diazepam. However, it still carries risks of dependency and adverse effects such as dizziness and confusion, especially in older adults. C. Phenobarbital - This barbiturate is not typically recommended for insomnia due to its high risk of respiratory depression, dependence, and severe withdrawal symptoms. It is generally avoided in elderly patients because of these risks and its potential to exacerbate cognitive decline. D. Chlordiazepoxide - This is a long-acting benzodiazepine that can be used for short-term management of insomnia in elderly patients. It is often preferred over other benzodiazepines because it has a lower risk of causing daytime sedation and cognitive impairment compared to some other options. However, it should still be used cautiously and for the shortest duration possible due to the risk of tolerance and dependence. E. Chloracepate - This is not a recognized drug name. It may be a misspelling or a confusion with another medication. Therefore, this option is invalid. Given these considerations, chlordiazepoxide (Option D) is the most appropriate choice among the given options, although it should be prescribed with caution and under close monitoring due to the inherent risks associated with benzodiazepine use in the elderly.",0.0,0.0148,0.0901,0.0381,0.0064,0.0254,0.0254,0.4319,0.5503,0.6003
"A 65-year-old woman consults for weakness in the right hand that has spread in a few months to other muscle territories of both arms and legs, with distal predominance. On examination there is atrophy and fasciculations in different metameric territories with preserved sensitivity. There is a bilateral Babinski's sign, what is the diagnostic test that would confirm the suspected diagnosis?","There is a bilateral Babinski's sign, what is the diagnostic test that would confirm the suspected diagnosis?","
A. Cerebral CT 
B. Electromyographic study 
C. Cerebral MRI 
D. Multimodal evoked potentials
",B,B,True,"The patient's symptoms suggest a motor neuron disease, such as amyotrophic lateral sclerosis (ALS), given the progressive weakness, atrophy, and fasciculations in multiple muscle groups, along with the presence of an upper motor neuron sign (bilateral Babinski's sign). An electromyographic (EMG) study is the most appropriate diagnostic test in this scenario because it can detect abnormalities in the electrical activity of muscles and nerves, which are characteristic of motor neuron diseases. EMG can reveal signs of denervation, such as fibrillation potentials and positive sharp waves, which are indicative of muscle fiber loss due to nerve damage. Option A (Cerebral CT): A cerebral CT scan is not specific for diagnosing motor neuron diseases. It is more useful for detecting structural brain lesions, tumors, or hemorrhages, which do not align with the clinical presentation described here. Option C (Cerebral MRI): While MRI can provide more detailed images of the brain and spinal cord than a CT scan, it is not the first-line test for motor neuron diseases. MRI may show changes in the spinal cord or brainstem in advanced cases of ALS but does not directly assess the function of motor neurons. Option D (Multimodal evoked potentials): Evoked potential studies measure the electrical response of sensory pathways to stimuli. They are used to evaluate the integrity of the central nervous system's conduction pathways but do not specifically target motor neurons or their innervation of muscles, making them less suitable for confirming a diagnosis of motor neuron disease compared to an EMG. Therefore, the best diagnostic test to confirm the suspected diagnosis of a motor neuron disease in this case is an electromyographic study.",0.0033,0.0452,0.2592,0.0956,0.055,0.0887,0.0887,0.5014,0.5861,0.7064
"25-year-old patient, who suffers a motorcycle accident on a Friday night. He is taken to the emergency room and diagnosed with abdominal trauma (negative echo-fast), mild head trauma (Glasgow = 14) and a displaced intracapsular fracture of the right hip. Hemodynamically she is stable, what would be the treatment of choice?","Hemodynamically she is stable, what would be the treatment of choice?","
A. Reduction, open if necessary, and osteosynthesis of the fracture in the first 24-36 hours 
B. Total hip resurfacing arthroplasty on Monday on a scheduled basis 
C. Wait for improvement of the cranial trauma and schedule the following week a scheduled surgery consisting of reduction and osteosynthesis of the fracture 
D. Given the risk of non-union of these types of fracture, I would perform an emergency bipolar hip hemiarthroplasty
",A,A,True,"Option A is the most appropriate course of action given the patient's condition. The patient has suffered multiple traumas but remains hemodynamically stable. The displaced intracapsular fracture of the right hip requires prompt attention as it can lead to avascular necrosis (AVN) of the femoral head if not treated appropriately. The timing of the intervention within the first 24-36 hours is crucial to reduce the risk of AVN and other complications such as infection. Open reduction may be necessary depending on the complexity of the displacement, and osteosynthesis will help stabilize the fracture and promote healing. Option B is incorrect because total hip resurfacing arthroplasty is typically reserved for elective procedures in patients without significant comorbidities and is not indicated for acute traumatic fractures. This procedure involves more extensive surgical intervention than necessary for a displaced intracapsular fracture and carries higher risks in an unstable patient. Option C is also incorrect because waiting for the cranial trauma to improve before scheduling surgery could delay essential treatment for the hip fracture, increasing the risk of complications such as AVN. Since the patient's Glasgow Coma Scale score indicates only mild head trauma (GCS = 14), this should not significantly impede immediate surgical intervention for the hip. Option D is incorrect because performing an emergency bipolar hip hemiarthroplasty is generally reserved for older patients with poor bone quality or those with severe comminuted fractures where internal fixation is not feasible. In a young patient with good bone quality and a displaced intracapsular fracture, reduction and osteosynthesis are preferred over arthroplasty to preserve joint function and avoid the need for further surgeries later in life.",0.0,0.024,0.0978,0.0493,0.0,0.0423,0.0423,0.4654,0.5729,0.6787
"A 61-year-old woman, administrative, with a history of overweight, hypertension, dyslipidemia and metabolic syndrome, who consults for pain in both buttocks, left trochanteric region, lateral aspect of the left thigh up to the knee and left leg up to the middle third. The pain appears when the lower limb is lifted with the knee extended, but is relieved when the knee is flexed. What is the first clinical suspicion?",What is the first clinical suspicion?,"
A. Gouty arthritis of left hip 
B. Left coxofemoral arthrosis 
C. Radiated low back pain / lumbosciatica 
D. Claudication due to canal stenosis
",C,C,True,"The patient's symptoms suggest a radiculopathy, which is typically caused by compression or irritation of a spinal nerve root. The pain pattern described—starting from the buttock and radiating down the leg, specifically alleviated when the knee is flexed (FABER test or straight leg raise test)—is characteristic of sciatic nerve involvement, often referred to as lumbosciatica. This condition usually originates from the lumbar spine, where a herniated disc or spinal stenosis can compress the sciatic nerve roots. Option A (Gouty arthritis of left hip) is less likely because gout typically presents with acute, severe pain, redness, and swelling, especially in the big toe but also potentially in other joints like the hip. The distribution of pain in this case does not fit the typical presentation of gout. Option B (Left coxofemoral arthrosis) involves degeneration of the hip joint, leading to pain that is usually localized around the hip and groin area rather than radiating down the leg. While it can cause pain in the buttock, the specific pattern of pain relief with knee flexion is more indicative of nerve root irritation rather than joint disease. Option D (Claudication due to canal stenosis) refers to pain that occurs during walking and is relieved by rest, typically associated with peripheral artery disease. The patient’s pain pattern does not match the classic description of claudication, which is activity-related and relieved by rest. Therefore, considering the patient's age, medical history, and the specific pattern of pain described, the most likely diagnosis is radiated low back pain or lumbosciatica.",0.0,0.0069,0.0423,0.0151,0.0,0.0151,0.0151,0.3908,0.5452,0.6036
"A 32-year-old diabetic patient on insulin therapy with good control of his blood glucose levels comes to your office with tingling in both hands, with a sensation of corking and thermal insensitivity of progressive onset over the course of 2 weeks. She does not report visual disturbances, strength deficit, motor clumsiness or other symptoms. On examination she found anesthesia to pain and temperature in both hands and distal forearms; positional and vibratory sensitivity were preserved. There is no muscle atrophy or strength deficit. Muscle reflexes are normal and symmetrical. There is no dysmetria, dysdiadochokinesia or intention tremor. The rest of the neurological examination is strictly normal. Indicate the most likely diagnosis in this case:",Indicate the most likely diagnosis in this case:,"
A. Peripheral sensitvo symmetric distal peripheral neuropathy of diabetic cause 
B. Compressive cervical spinal cord injury 
C. Bilateral carpal tunnel syndrome 
D. Multiple sclerosis type demyelinating disease 
E. Central cervical spinal cord injury
",E,A,False,"- Option A (Peripheral sensitvo symmetric distal peripheral neuropathy of diabetic cause): This is the most likely diagnosis given the patient's history of diabetes and the presentation of symptoms. Diabetic peripheral neuropathy typically presents with sensory changes that start distally and progress proximally. The patient's symptoms of tingling, corking sensation, and thermal insensitivity in both hands and distal forearms are characteristic of this condition. Additionally, the preservation of vibratory and positional senses, as well as the absence of muscle atrophy and strength deficits, aligns with the clinical picture of a predominantly sensory neuropathy. - Option B (Compressive cervical spinal cord injury): This would be less likely because the patient has no signs of upper motor neuron involvement such as hyperreflexia, spasticity, or Babinski sign. Also, the symptoms are symmetric and confined to the hands and forearms without any evidence of radicular pain or weakness in the arms or legs, which would be more typical in a compressive cervical lesion. - Option C (Bilateral carpal tunnel syndrome): While carpal tunnel syndrome can present with numbness and tingling in the hands, it usually affects the median nerve distribution specifically (thumb, index, middle, and half of the ring finger). The patient’s symptoms are more generalized and involve both pain and temperature sensations, which are not specific to the median nerve territory. Furthermore, carpal tunnel syndrome typically causes nocturnal symptoms and can lead to weakness of the thenar muscles, neither of which is reported here. - Option D (Multiple sclerosis type demyelinating disease): Multiple sclerosis (MS) can present with various neurological symptoms, but the patient's symptoms do not fit the typical pattern of MS. MS often involves optic neuritis, brainstem or cerebellar signs, and can show asymmetry or multifocal neurological deficits. The patient's symptoms are symmetric and confined to sensory changes without any motor deficits or signs of central nervous system involvement. - Option E (Central cervical spinal cord injury): Similar to option B, a central cervical spinal cord injury would present with more significant neurological deficits including upper motor neuron signs, which are not seen in this patient. The patient's symptoms are purely sensory and do not suggest a central lesion. Therefore, based on the clinical presentation and the patient's medical history, the most likely diagnosis is diabetic peripheral neuropathy.",0.0023,0.0161,0.1437,0.031,0.0208,0.031,0.031,0.3692,0.5477,0.6747
"A 37-year-old man presents with arthritis of the metacarpophalangeal joints of both hands and right pleuritis. Bilateral malar erythema is seen on examination. Positive antinuclear antibodies were detected (titer 1/640), with anti native DNA antibodies also positive; anti-Sm negative What would be the initial treatment of choice for this patient?","Positive antinuclear antibodies were detected (titer 1/640), with anti native DNA antibodies also positive; anti-Sm negative What would be the initial treatment of choice for this patient?","
A. Glucocorticoids at high doses 
B. Glucocorticoids and mycophenolate 
C. Nonsteroidal anti-inflammatory drugs and antimalarials 
D. The picture will probably be self-limited and does not require treatment
",A,C,False,"Given the clinical presentation of the patient, which includes arthritis of the metacarpophalangeal joints, bilateral malar erythema, and right pleuritis, along with positive antinuclear antibodies (ANA) and anti-native DNA antibodies, the diagnosis leans towards systemic lupus erythematosus (SLE). However, the absence of anti-Smith (anti-Sm) antibodies does not rule out SLE but may suggest a less typical presentation. Option A (Glucocorticoids at high doses): High-dose glucocorticoids are typically reserved for severe cases of SLE, such as those involving significant organ involvement like nephritis or central nervous system lupus. Given that the patient's symptoms do not indicate life-threatening organ involvement, high-dose glucocorticoids would be an over-treatment and could lead to significant side effects. Option B (Glucocorticoids and mycophenolate): This combination is usually considered in more severe cases of SLE where there is significant organ damage or when the disease is refractory to other treatments. Since the patient's condition does not appear to be life-threatening or severely debilitating, this aggressive approach is unnecessary. Option C (Nonsteroidal anti-inflammatory drugs and antimalarials): This is the most appropriate initial treatment for mild to moderate SLE manifestations. Nonsteroidal anti-inflammatory drugs (NSAIDs) can help manage joint pain and inflammation, while antimalarials (such as hydroxychloroquine) are effective in controlling skin rashes, joint pain, and fatigue associated with SLE. They are generally well-tolerated and have fewer side effects compared to glucocorticoids. Option D (The picture will probably be self-limited and does not require treatment): Systemic lupus erythematosus is a chronic autoimmune condition that requires ongoing management. While some patients may experience periods of remission, the condition itself is not self-limiting and requires treatment to prevent flare-ups and potential organ damage. Therefore, the best initial treatment for this patient would be nonsteroidal anti-inflammatory drugs and antimalarials, making Option C the correct answer.",0.0,0.0559,0.2274,0.1128,0.0597,0.1068,0.1068,0.5028,0.5334,0.5948
"A 75-year-old woman consults for violaceous lesions on the hands and neck together with progressive muscle weakness of 3 months of evolution. What diagnostic tests, among those indicated, can be useful for the diagnosis?","What diagnostic tests, among those indicated, can be useful for the diagnosis?","
A. Determination of serum aldolase 
B. Electroencephalogram 
C. Biopsy of subcutaneous cellular tissue 
D. Determination of anti-smooth muscle antibodies 
E. Genetic study of their descendants
",A,A,True,"A. Determination of serum aldolase - This is the correct answer. Aldolase is an enzyme found in many tissues, but it is particularly abundant in muscle tissue. Elevated levels of serum aldolase are often associated with muscle damage or disease, such as myopathies or muscular dystrophies. Given the patient's symptoms of violaceous lesions and progressive muscle weakness, testing for serum aldolase could help diagnose a condition affecting her muscles. B. Electroencephalogram (EEG) - This test records electrical activity in the brain and is used to diagnose conditions that affect brain function, such as epilepsy or other neurological disorders. It would not be relevant for diagnosing muscle-related issues or skin lesions. C. Biopsy of subcutaneous cellular tissue - While a biopsy might be useful to determine the nature of the violaceous lesions, it does not directly address the issue of muscle weakness. The lesions could be due to various causes, including dermatological conditions, which may or may not be related to the muscle weakness. D. Determination of anti-smooth muscle antibodies - These antibodies are typically associated with autoimmune liver diseases, such as autoimmune hepatitis. They do not relate to muscle weakness or skin lesions unless there is a specific context suggesting a systemic autoimmune disorder affecting multiple organs, which is not indicated here. E. Genetic study of their descendants - This option is not relevant to the immediate diagnosis of the patient's current symptoms. Genetic studies might be considered if there is a suspicion of a hereditary condition, but this is not indicated based on the information provided. Given the patient's symptoms, the most appropriate initial test would be the determination of serum aldolase, as it can provide insight into whether the muscle weakness is due to muscle damage or disease.",0.0,0.028,0.1096,0.0464,0.0067,0.0265,0.0265,0.4526,0.5396,0.5933
"A 67-year-old man, ex-smoker, with a diagnosis of severe COPD (multidimensional index BODE 5, FEVl 38%, body mass index 23, dyspnea index according to the mMRC 3 scale, distance covered in the 6-minute walk test 260 m) who has had 3 hospital admissions for exacerbation of his COPD in the last 7 months, comes to the consultation. She also has a history of hypertension, ischemic heart disease with AMI 5 years ago and intermittent claudication. In the clinical examination, there is a decrease in vesicular murmur with expiratory wheezing in both lung fields and an oximetry saturation of 88%. Which of the following therapeutic strategies would NOT be recommended for this patient?",Which of the following therapeutic strategies would NOT be recommended for this patient?,"
A. Adjustment of inhaled therapy with long-acting bronchodilators combining anticholinergics and beta-2 adrenergics with inhaled glucocorticoids 
B. Start oral glucocorticoids for 6 months to control exacerbations 
C. Check that the patient performs the inhalation technique correctly 
D. Initiate chronic home oxygen therapy regimen
",B,B,True,"A. Adjustment of inhaled therapy with long-acting bronchodilators combining anticholinergics and beta-2 adrenerics with inhaled glucocorticoids - This is a common and recommended strategy for patients with severe COPD, especially those with frequent exacerbations. The combination of these medications can help reduce symptoms and prevent future exacerbations. B. Start oral glucocorticoids for 6 months to control exacerbations - Long-term use of oral glucocorticoids is not recommended due to significant side effects such as osteoporosis, diabetes, and immunosuppression. Oral glucocorticoids are typically used for short periods during acute exacerbations but not as a maintenance treatment. C. Check that the patient performs the inhalation technique correctly - Ensuring proper inhalation technique is crucial for effective delivery of inhaled medications and maximizing their benefits. Incorrect technique can lead to poor symptom control and increased risk of exacerbations. D. Initiate chronic home oxygen therapy regimen - Chronic home oxygen therapy is indicated for patients with COPD who have resting hypoxemia (as evidenced by the patient's oxygen saturation of 88%), which can improve quality of life and survival rates. Given the patient's low oxygen saturation, this is a reasonable recommendation. Therefore, the option that would NOT be recommended for this patient is B, as it involves the inappropriate long-term use of oral glucocorticoids.",0.0175,0.039,0.3151,0.0897,0.0543,0.0897,0.0897,0.4881,0.5203,0.6829
"An 87-year-old woman with a history of hypertension was admitted 48 hours ago to the coronary unit for acute myocardial infarction with ST-segment elevation of anterior location. She reported dyspnea. Examination revealed a systolic murmur with fremitus, radiating to the right sternal border, which was not present on admission. What complication do you suspect?",What complication do you suspect?,"
A. Heart failure due to extensive necrosis 
B. Anterior aneurysm 
C. Left ventricular free wall rupture 
D. Rupture in the interventricular septum
",D,D,True,"Given the patient's presentation with a new systolic murmur radiating to the right sternal border, this suggests a complication that involves a change in cardiac structure or function since her admission. The most likely explanation for this finding is a rupture in the interventricular septum (IVS). - Option A: Heart failure due to extensive necrosis - While heart failure can occur after an acute myocardial infarction (AMI), it typically presents with signs such as pulmonary congestion, peripheral edema, and jugular venous distension rather than a new systolic murmur. - Option B: Anterior aneurysm - An aneurysm would be more likely to cause a localized bulge in the heart wall and might present with a palpable thrill or a displaced apical impulse, but it does not typically cause a murmur that radiates to the right sternal border. - Option C: Left ventricular free wall rupture - This is a catastrophic event that often leads to sudden death or immediate cardiogenic shock due to pericardial tamponade. It usually presents with hypotension, muffled heart sounds, and signs of cardiac arrest rather than a new murmur. - Option D: Rupture in the interventricular septum - This condition can result from an infarct affecting the septal wall, leading to a tear that allows blood to flow between the left and right ventricles. This creates a high-velocity jet across the defect, resulting in a characteristic murmur that can be heard at the right sternal border. The presence of a new systolic murmur in this context strongly suggests this diagnosis. Therefore, the new systolic murmur with fremitus radiating to the right sternal border is most consistent with a rupture in the interventricular septum, making option D the best answer.",0.0,0.0032,0.0273,0.0071,0.0,0.0071,0.0071,0.3367,0.4728,0.5314
