background,question,option,ground_truth,prediction,acc,explanation,bleu4,bleu1,meteor,rouge1,rouge2,rougeL,rougeLsum,bertscore_f1,bertscore_f1_avg_sent,bertscore_f1_max_sent
"An 18-month-old boy, with complete immunization schedule to date, who consults the Emergency Department for right knee swelling after playing in the park, without obvious trauma. In the directed anamnesis, the mother refers that an uncle of hers had similar problems. The ultrasound examination is compatible with hemarthrosis and in the analytical analysis only an APTT lengthening of 52'' (normal 25-35'') stands out. What is the most probable diagnostic hypothesis?",What is the most probable diagnostic hypothesis?,"
A. Marfan syndrome 
B. Von-Willebrand's disease 
C. Ehlers-Danlos disease 
D. Hemophilia A 
E. Bernard-Soulier disease
",D,C,False,"Ehlers-Danlos syndrome (EDS) is a group of genetic connective tissue disorders characterized by hypermobile joints, skin fragility, and other symptoms. It can present with various clinical manifestations, including joint hypermobility, easy bruising, and bleeding tendencies. One of the key features of EDS is the presence of abnormal blood clotting factors, which can lead to prolonged prothrombin time (PT), activated partial thromboplastin time (aPTT), and platelet count abnormalities. In this case, the patient has a history of family members with similar issues, suggesting a possible autosomal dominant inheritance pattern. The ultrasonography findings indicate hemarthrosis, which is consistent with EDS. Additionally, the elevated aPTT suggests a potential coagulation disorder, further supporting the diagnosis of EDS. While the other options listed have their own unique characteristics and may be associated with specific conditions, they do not align as closely with the presented information regarding the patient's medical history and laboratory results. Therefore, Ehlers-Danlos disease is the most likely diagnostic hypothesis based on the given data.",0.0,0.0262,0.1409,0.0581,0.0353,0.0581,0.0581,0.4883,0.5924,0.7336
"We are consulted by an 84-year-old woman for insomnia of conciliation. After failing sleep hygiene measures, it is decided to initiate pharmacological treatment. Which of the following drugs would you select for the patient?",Which of the following drugs would you select for the patient?,"
A. Diacepam 
B. Lormetacepam 
C. Phenobarbital 
D. Chlordiazepoxide 
E. Chloracepate
",B,D,False,"Chlordiazepoxide (also known as Librium) is a benzodiazepine medication that has been used for decades in the treatment of various anxiety disorders and insomnia. It works by enhancing the effects of gamma-aminobutyric acid (GABA), which is an inhibitory neurotransmitter in the brain. This enhancement helps to reduce anxiety and promote relaxation, which can be beneficial for individuals experiencing insomnia due to stress or anxiety. While other options like diazepam (Valium) and lorazepam (Ativan) are also benzodiazepines, they have higher potential for abuse and dependence compared to chlordiazepoxide. Therefore, chlordiazepoxide is generally considered safer and more appropriate for long-term use in managing insomnia associated with anxiety. Phenobarbital and lormetazepam are not typically prescribed for insomnia because they have significant side effects and may lead to dependency if overused. Chlorazepate is another benzodiazepine but is less commonly used today due to its potential for causing memory problems and cognitive impairment. In conclusion, chlordiazepoxide is the most suitable choice for treating insomnia related to conciliation based on its efficacy, safety profile, and historical usage in this context.",0.0,0.0203,0.0984,0.0535,0.0,0.0428,0.0428,0.4423,0.5385,0.567
"A 65-year-old woman consults for weakness in the right hand that has spread in a few months to other muscle territories of both arms and legs, with distal predominance. On examination there is atrophy and fasciculations in different metameric territories with preserved sensitivity. There is a bilateral Babinski's sign, what is the diagnostic test that would confirm the suspected diagnosis?","There is a bilateral Babinski's sign, what is the diagnostic test that would confirm the suspected diagnosis?","
A. Cerebral CT 
B. Electromyographic study 
C. Cerebral MRI 
D. Multimodal evoked potentials
",B,B,True,"Electromyography (EMG) is the most reliable diagnostic tool for confirming the suspected diagnosis of myasthenia gravis. This condition involves damage to the neuromuscular junction, leading to muscle weakness and fatigability. EMG measures electrical activity in muscles and their associated nerves, which can reveal characteristic patterns indicative of myasthenia gravis. Key points about EMG: 1. Sensitivity: EMG is highly sensitive in detecting abnormalities in nerve conduction and muscle function. 2. Specificity: It provides specific information about the underlying cause of muscle weakness. 3. Bilateral involvement: Myasthenia gravis typically affects multiple muscle groups symmetrically, as seen in this case where weakness spreads from the right arm to other limbs. 4. Fasciculations: These are small, involuntary contractions of muscle fibers visible on an electromyogram, often indicating denervation due to nerve damage. 5. Atrophy: While not directly tested by EMG, it can be inferred from the patient's history and physical exam findings. 6. Preserved sensation: This is consistent with the absence of sensory deficits typical of myasthenia gravis. 7. Babinski's sign: Present in approximately 90% of patients with myasthenia gravis, making it a useful clinical finding. Options analysis: A. Cerebral CT - Not relevant; does not assess motor neuron function. B. Electromyographic study - Most accurate for diagnosing myasthenia gravis. C. Cerebral MRI - Useful for imaging brain structures but not specifically for diagnosing neuromuscular disorders like myasthenia gravis. D. Multimodal evoked potentials - While potentially informative, it may not be as specific as EMG for diagnosing myasthenia gravis compared to its direct assessment of motor unit action potential changes. Therefore, the combination of symptoms, examination findings, and the presence of Babinski's sign strongly support the diagnosis of myasthenia gravis, making EMG the most appropriate diagnostic test.",0.0,0.0359,0.2175,0.0867,0.0403,0.0533,0.0533,0.4827,0.551,0.673
"25-year-old patient, who suffers a motorcycle accident on a Friday night. He is taken to the emergency room and diagnosed with abdominal trauma (negative echo-fast), mild head trauma (Glasgow = 14) and a displaced intracapsular fracture of the right hip. Hemodynamically she is stable, what would be the treatment of choice?","Hemodynamically she is stable, what would be the treatment of choice?","
A. Reduction, open if necessary, and osteosynthesis of the fracture in the first 24-36 hours 
B. Total hip resurfacing arthroplasty on Monday on a scheduled basis 
C. Wait for improvement of the cranial trauma and schedule the following week a scheduled surgery consisting of reduction and osteosynthesis of the fracture 
D. Given the risk of non-union of these types of fracture, I would perform an emergency bipolar hip hemiarthroplasty
",A,A,True,"In this scenario, the patient has suffered a traumatic injury involving an abdominal trauma, mild head trauma, and a displaced intracapsular fracture of the right hip. The key points to consider are: 1. Abdominal Trauma: This suggests that there may have been internal bleeding or other complications from the impact, which could require immediate attention. 2. Mild Head Trauma (Glasgow Score = 14): While not life-threatening, it indicates that the patient's brain function is compromised but still within normal limits. However, this does not necessarily mean that surgical intervention should wait until the next day. 3. Displaced Intracapsular Fracture of the Right Hip: This type of fracture typically requires prompt management due to its potential for non-union and associated pain and disability. Open reduction and internal fixation (ORIF) are often preferred over closed methods like closed reduction because they allow direct visualization and manipulation of the bone fragments. Given these factors, the most appropriate initial treatment would be: Option A: Reduction, open if necessary, and osteosynthesis of the fracture in the first 24-36 hours This approach ensures that any underlying injuries can be addressed promptly while minimizing further damage to the soft tissues around the hip. It also allows for early mobilization once the fracture is stabilized, which is crucial for recovery. Options B and C are less suitable given the severity of the hip fracture and the need for rapid stabilization: - Total Hip Resurfacing Arthroplasty: This procedure is generally reserved for cases where significant joint damage is present beyond simple fractures. In this case, ORIF might be more appropriate. - Waiting for Improvement of Cranial Trauma and Scheduled Surgery: This approach risks delaying critical care for the hip fracture, potentially leading to complications such as non-union or avascular necrosis. Option D, performing an emergency bipolar hip hemiarthroplasty, is too aggressive and risky at this stage. Bipolar hip hemiarthroplasties are usually reserved for specific indications, such as severe arthritis or infection, and are not indicated for uncomplicated fractures without significant joint involvement. Therefore, Option A represents the safest and most effective initial course of action based on the available information and the nature of the patient's injuries.",0.0,0.0172,0.0668,0.0323,0.0054,0.0269,0.0269,0.4347,0.5447,0.61
"A 61-year-old woman, administrative, with a history of overweight, hypertension, dyslipidemia and metabolic syndrome, who consults for pain in both buttocks, left trochanteric region, lateral aspect of the left thigh up to the knee and left leg up to the middle third. The pain appears when the lower limb is lifted with the knee extended, but is relieved when the knee is flexed. What is the first clinical suspicion?",What is the first clinical suspicion?,"
A. Gouty arthritis of left hip 
B. Left coxofemoral arthrosis 
C. Radiated low back pain / lumbosciatica 
D. Claudication due to canal stenosis
",C,B,False,"Coxofemoral arthritis (also known as femoroacetabular impingement) is a condition where there is abnormal wear and tear on the joint between the head of the femur (thigh bone) and the acetabulum (hip socket). This can lead to inflammation and pain, particularly in the area around the hip joint. The symptoms typically include pain that worsens with activities such as lifting the leg with the knee extended, which would explain the patient's discomfort described in the question. Options A, C, and D are less likely given the specific presentation of pain in the buttocks, left trochanteric region, lateral aspect of the left thigh up to the knee, and left leg up to the middle third: - Gouty arthritis of left hip: While gout can affect joints, it usually presents with acute attacks of sudden onset severe pain, redness, warmth, and swelling rather than chronic pain localized to one side. - Left coxofemoral arthrosis: As mentioned earlier, this is the most appropriate diagnosis based on the description of pain during certain movements and relief upon flexion of the knee. - Radiated low back pain/lumbosciatica: Although lumbar spine issues can cause referred pain to the hips, the specific pattern of pain described here does not align well with typical patterns of lumbosacral radicular pain. Therefore, the combination of symptoms points directly towards coxofemoral arthritis as the primary clinical suspicion.",0.0,0.0154,0.1159,0.0346,0.0175,0.0346,0.0346,0.4102,0.5364,0.6572
"A 32-year-old diabetic patient on insulin therapy with good control of his blood glucose levels comes to your office with tingling in both hands, with a sensation of corking and thermal insensitivity of progressive onset over the course of 2 weeks. She does not report visual disturbances, strength deficit, motor clumsiness or other symptoms. On examination she found anesthesia to pain and temperature in both hands and distal forearms; positional and vibratory sensitivity were preserved. There is no muscle atrophy or strength deficit. Muscle reflexes are normal and symmetrical. There is no dysmetria, dysdiadochokinesia or intention tremor. The rest of the neurological examination is strictly normal. Indicate the most likely diagnosis in this case:",Indicate the most likely diagnosis in this case:,"
A. Peripheral sensitvo symmetric distal peripheral neuropathy of diabetic cause 
B. Compressive cervical spinal cord injury 
C. Bilateral carpal tunnel syndrome 
D. Multiple sclerosis type demyelinating disease 
E. Central cervical spinal cord injury
",E,A,False,"This case presents with sensory deficits (anesthesia) and proprioception abnormalities (corking and thermal insensitivity), which are characteristic features of peripheral neuropathies. These symptoms are particularly suggestive of a peripheral neuropathy caused by diabetes mellitus, as they often occur in patients with poorly controlled diabetes who may have nerve damage due to high blood sugar levels. Option B (Compressive cervical spinal cord injury): This condition typically involves compression of the spinal cord at the level of the neck, leading to weakness, paralysis, and sensory changes that can affect the upper body. However, the patient's symptoms do not include any signs of weakness or paralysis, and there is no mention of sensory loss below the elbows or shoulder blades, which would be expected if there was a compressive lesion affecting the cervical spine. Option C (Bilateral carpal tunnel syndrome): Carpal tunnel syndrome usually affects the median nerve, causing numbness, tingling, and weakness in the hand and fingers. It does not present with sensory deficits like those described here, such as an inability to feel pain and temperature sensations. Option D (Multiple sclerosis type demyelinating disease): Multiple sclerosis primarily affects the central nervous system, including the brain and spinal cord, resulting in various neurological symptoms such as optic neuritis, cognitive impairment, and motor dysfunction. While MS can involve peripheral nerves, it is less common than diabetes-related peripheral neuropathy and does not typically present with the specific pattern of sensory deficits observed in this case. Option E (Central cervical spinal cord injury): An injury to the cervical spinal cord could potentially lead to sensory deficits, but the absence of any signs of weakness, paralysis, or other motor symptoms makes this less likely compared to the presence of sensory deficits typical of peripheral neuropathy. Given these considerations, the most likely diagnosis based on the provided information is peripheral neuropathy related to diabetes mellitus.",0.0028,0.0225,0.1445,0.044,0.0316,0.0252,0.0252,0.4121,0.5508,0.6826
"A 37-year-old man presents with arthritis of the metacarpophalangeal joints of both hands and right pleuritis. Bilateral malar erythema is seen on examination. Positive antinuclear antibodies were detected (titer 1/640), with anti native DNA antibodies also positive; anti-Sm negative What would be the initial treatment of choice for this patient?","Positive antinuclear antibodies were detected (titer 1/640), with anti native DNA antibodies also positive; anti-Sm negative What would be the initial treatment of choice for this patient?","
A. Glucocorticoids at high doses 
B. Glucocorticoids and mycophenolate 
C. Nonsteroidal anti-inflammatory drugs and antimalarials 
D. The picture will probably be self-limited and does not require treatment
",A,A,True,"This patient's presentation suggests an autoimmune disorder that involves multiple organ systems, including rheumatoid arthritis affecting the metacarpophalangeal joints of both hands and pleurisy. The presence of positive antinuclear antibodies (ANA) and anti-native DNA antibodies strongly indicates an autoimmune condition such as systemic lupus erythematosus (SLE). Additionally, the absence of anti-Sm antibodies further supports this diagnosis. Given the severity and potential complications associated with SLE, particularly in its more severe forms like polyarteritis nodosa, which can lead to significant organ damage, glucocorticoids are typically the first-line treatment. High-dose corticosteroids are often used initially to rapidly control inflammation and prevent organ damage. This approach helps manage symptoms and reduces the risk of developing life-threatening complications. While nonsteroidal anti-inflammatory drugs (NSAIDs) may help alleviate some joint pain and swelling, they do not address the underlying autoimmune process. Mycophenolate, while potentially useful in certain cases, is not indicated based solely on the information provided. Antimalarial agents might be considered if there is evidence of skin involvement or other features suggestive of cutaneous lupus erythematosus, but their use is not universally recommended without additional clinical context. In conclusion, given the severity of the patient's symptoms and the need to quickly control inflammation, glucocorticoids at high doses represent the most appropriate initial treatment choice.",0.0,0.072,0.1981,0.1463,0.0656,0.1138,0.1138,0.5439,0.5492,0.6201
"A 75-year-old woman consults for violaceous lesions on the hands and neck together with progressive muscle weakness of 3 months of evolution. What diagnostic tests, among those indicated, can be useful for the diagnosis?","What diagnostic tests, among those indicated, can be useful for the diagnosis?","
A. Determination of serum aldolase 
B. Electroencephalogram 
C. Biopsy of subcutaneous cellular tissue 
D. Determination of anti-smooth muscle antibodies 
E. Genetic study of their descendants
",A,C,False,"1. Biopsy of subcutaneous cellular tissue (Option C): This is the most appropriate test to diagnose hereditary hemorrhagic telangiectasia (HHT), which is characterized by the presence of dilated blood vessels in various parts of the body, including the skin, mucous membranes, and internal organs. The characteristic feature of HHT is the formation of arteriovenous malformations (AVMs) that can cause bleeding into the skin and other tissues. A biopsy of subcutaneous cellular tissue would allow for direct visualization and histological examination of these vascular abnormalities, confirming the diagnosis of HHT. 2. Electroencephalogram (EEG) (Option B): While EEG can help identify neurological disorders such as epilepsy, it is not specific to diagnosing HHT. HHT does not typically present with seizures or focal neurological deficits, so an EEG alone would not be sufficient to make this diagnosis. 3. Determination of serum aldolase (Option A): Aldolase is an enzyme found primarily in muscle cells. Elevated levels of serum aldolase can indicate muscle damage or disease, but it is not specific to HHT. Other conditions like rhabdomyolysis, muscular dystrophies, or certain types of cancer can also lead to elevated aldolase levels. Therefore, while it might suggest muscle involvement, it is not diagnostic for HHT. 4. Determination of anti-smooth muscle antibodies (Option D): Anti-Smooth Muscle Antibodies (ASMA) are used to detect autoimmune diseases involving smooth muscles, such as systemic sclerosis or polymyositis. These antibodies are often positive in patients with HHT, particularly when there is associated pulmonary arterial hypertension. However, ASMA positivity is more commonly seen in connective tissue diseases rather than directly indicating HHT. 5. Genetic study of their descendants (Option E): Although genetic testing could potentially reveal mutations related to HHT if performed on family members, it is not a routine diagnostic tool. It is more relevant for research purposes or when considering prophylactic treatment options for individuals at risk of developing HHT-related complications. In conclusion, the biopsy of subcutaneous cellular tissue is the most reliable diagnostic test for HHT due to its specificity in identifying the characteristic vascular anomalies associated with this condition.",0.0,0.02,0.1284,0.0338,0.0057,0.0225,0.0225,0.4329,0.5136,0.5821
"A 67-year-old man, ex-smoker, with a diagnosis of severe COPD (multidimensional index BODE 5, FEVl 38%, body mass index 23, dyspnea index according to the mMRC 3 scale, distance covered in the 6-minute walk test 260 m) who has had 3 hospital admissions for exacerbation of his COPD in the last 7 months, comes to the consultation. She also has a history of hypertension, ischemic heart disease with AMI 5 years ago and intermittent claudication. In the clinical examination, there is a decrease in vesicular murmur with expiratory wheezing in both lung fields and an oximetry saturation of 88%. Which of the following therapeutic strategies would NOT be recommended for this patient?",Which of the following therapeutic strategies would NOT be recommended for this patient?,"
A. Adjustment of inhaled therapy with long-acting bronchodilators combining anticholinergics and beta-2 adrenergics with inhaled glucocorticoids 
B. Start oral glucocorticoids for 6 months to control exacerbations 
C. Check that the patient performs the inhalation technique correctly 
D. Initiate chronic home oxygen therapy regimen
",B,B,True,"Option A: This recommendation aligns well with current guidelines for COPD management. Long-acting bronchodilators combined with inhaled glucocorticoids can help improve symptoms and reduce exacerbations. Anticholinergic agents are often used as part of this combination therapy because they have additional anti-inflammatory effects. Option C: Correctly performing inhalation techniques is crucial for effective medication delivery. Ensuring proper technique helps maximize the benefits of the medications while minimizing side effects. Option D: Chronic home oxygen therapy is generally not recommended for patients with mild to moderate COPD unless specifically indicated by their condition. The patient's oxygen saturation level (88%) suggests he may benefit from supplemental oxygen if it improves his quality of life or reduces symptoms, but it should be considered on a case-by-case basis after discussing potential risks and benefits with the healthcare provider. Option B: Starting oral glucocorticoids for 6 months to control exacerbations is not typically recommended for COPD. Oral corticosteroids carry significant systemic side effects and do not offer the same localized benefits as inhaled therapies. They are usually reserved for more severe cases or when other treatments fail. In conclusion, while options A, C, and D could potentially be beneficial, starting oral glucocorticoids for 6 months is not recommended for this patient based on the information provided.",0.0043,0.03,0.213,0.0702,0.0354,0.0702,0.0702,0.4831,0.5518,0.6187
"An 87-year-old woman with a history of hypertension was admitted 48 hours ago to the coronary unit for acute myocardial infarction with ST-segment elevation of anterior location. She reported dyspnea. Examination revealed a systolic murmur with fremitus, radiating to the right sternal border, which was not present on admission. What complication do you suspect?",What complication do you suspect?,"
A. Heart failure due to extensive necrosis 
B. Anterior aneurysm 
C. Left ventricular free wall rupture 
D. Rupture in the interventricular septum
",D,D,True,"The patient's symptoms and findings suggest a complication related to the heart's structure and function. The presence of a systolic murmur with fremitus (a vibration heard during auscultation) indicates valvular involvement or structural changes within the heart. Fremitus typically suggests pericardial friction rubs, which can occur when there is inflammation or irritation of the pericardium. However, the specific nature of this murmur and its radiation to the right sternal border point towards a more localized issue rather than widespread pericarditis. Given that the patient has had a recent myocardial infarction with ST-segment elevation at the anterior location, it is highly likely that the underlying cause of her dyspnea is related to the damaged myocardium. Myocardial infarctions often lead to scar tissue formation, which can disrupt normal cardiac mechanics and potentially cause complications such as arrhythmias or valve dysfunction. Option A (Heart failure due to extensive necrosis): While extensive necrosis could contribute to heart failure, the described murmur does not strongly support this diagnosis alone without additional evidence of significant myocardial damage. Option B (Anterior aneurysm): An aneurysm would typically be associated with a distinct sound pattern and may not radiate to other areas like the right sternal border. Additionally, an aneurysm usually involves dilation of blood vessels, not the heart itself. Option C (Left ventricular free wall rupture): This condition is extremely rare and typically presents with different clinical signs and murmurs compared to what is described here. The combination of a systolic murmur and fremitus is inconsistent with a left ventricular free wall rupture. Therefore, the most probable complication based on the given information is a rupture in the interventricular septum, which could explain the localized murmur and radiating fremitus. This type of septal rupture can result from ischemia-induced myocyte death and subsequent fibrous encapsulation, leading to abnormal mechanical interactions between the ventricles and potential hemodynamic disturbances.",0.0,0.0029,0.0251,0.0126,0.0,0.0126,0.0126,0.3391,0.4864,0.5705
