emb_t,tok_t,background_recall_corr1_pearson,background_recall_corr1_spearman,background_recall_corr1_kendall,ques_recall_corr1_pearson,ques_recall_corr1_spearman,ques_recall_corr1_kendall,background_recall_corr2_pb,ques_recall_corr2_pb,background_recall_corr3_pearson,background_recall_corr3_spearman,background_recall_corr3_kendall,ques_recall_corr3_pearson,ques_recall_corr3_spearman,ques_recall_corr3_kendall,background_recall_corr1_p_pearson,background_recall_corr1_p_spearman,background_recall_corr1_p_kendall,ques_recall_corr1_p_pearson,ques_recall_corr1_p_spearman,ques_recall_corr1_p_kendall,background_recall_corr2_p_pb,ques_recall_corr2_p_pb,background_recall_corr3_p_pearson,background_recall_corr3_p_spearman,background_recall_corr3_p_kendall,ques_recall_corr3_p_pearson,ques_recall_corr3_p_spearman,ques_recall_corr3_p_kendall
0.6,0.0,0.7786,0.8214,0.619,0.5978,0.6071,0.3333,0.0536,0.0275,0.112,0.105,0.077,0.033,0.039,0.033,0.0392,0.0234,0.069,0.1563,0.1482,0.3813,0.0,0.0094,0.0,0.0,0.0,0.002,0.0,0.0
0.6,0.1,0.8366,0.9286,0.8095,0.713,0.6429,0.4286,0.0589,0.0252,0.178,0.197,0.144,0.081,0.101,0.081,0.0189,0.0025,0.0107,0.0721,0.1194,0.2389,0.0,0.0174,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.2,0.8346,0.9286,0.8095,0.7197,0.6429,0.4286,0.0575,0.0284,0.178,0.198,0.144,0.083,0.102,0.081,0.0195,0.0025,0.0107,0.0682,0.1194,0.2389,0.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.3,0.8317,0.9286,0.8095,0.6891,0.6429,0.4286,0.0615,0.0391,0.179,0.2,0.145,0.084,0.11,0.087,0.0203,0.0025,0.0107,0.0868,0.1194,0.2389,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.4,0.8194,0.8571,0.7143,0.718,0.7143,0.5238,0.0646,0.0496,0.175,0.197,0.144,0.089,0.116,0.09,0.0241,0.0137,0.0302,0.0692,0.0713,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.5,0.8178,0.8571,0.7143,0.7322,0.7143,0.5238,0.0632,0.0552,0.174,0.197,0.143,0.097,0.125,0.097,0.0246,0.0137,0.0302,0.0613,0.0713,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.6,0.8191,0.8571,0.7143,0.6992,0.6071,0.5238,0.0555,0.0478,0.154,0.173,0.126,0.091,0.124,0.097,0.0242,0.0137,0.0302,0.0804,0.1482,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.7,0.8175,0.8571,0.7143,0.6611,0.6071,0.5238,0.0489,0.0522,0.138,0.158,0.115,0.08,0.116,0.091,0.0247,0.0137,0.0302,0.1059,0.1482,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.7848,0.9286,0.8095,0.5499,0.6071,0.3333,0.0558,0.0255,0.13,0.13,0.095,0.049,0.063,0.052,0.0366,0.0025,0.0107,0.2009,0.1482,0.3813,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.1,0.8325,0.9286,0.8095,0.695,0.6429,0.4286,0.0546,0.0238,0.171,0.19,0.138,0.076,0.095,0.075,0.0201,0.0025,0.0107,0.083,0.1194,0.2389,0.0,0.0245,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.2,0.8308,0.9286,0.8095,0.7097,0.6429,0.4286,0.0551,0.0288,0.171,0.191,0.139,0.078,0.095,0.076,0.0206,0.0025,0.0107,0.074,0.1194,0.2389,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.3,0.8293,0.9286,0.8095,0.6873,0.6429,0.4286,0.0598,0.0394,0.174,0.194,0.141,0.084,0.109,0.086,0.021,0.0025,0.0107,0.088,0.1194,0.2389,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.4,0.8182,0.8571,0.7143,0.7154,0.7143,0.5238,0.0633,0.0488,0.174,0.196,0.142,0.088,0.116,0.09,0.0245,0.0137,0.0302,0.0707,0.0713,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,0.8175,0.8571,0.7143,0.7301,0.7143,0.5238,0.0626,0.0542,0.173,0.195,0.142,0.097,0.125,0.097,0.0247,0.0137,0.0302,0.0625,0.0713,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.6,0.819,0.8571,0.7143,0.6992,0.6071,0.5238,0.0556,0.0478,0.154,0.173,0.126,0.091,0.124,0.097,0.0242,0.0137,0.0302,0.0804,0.1482,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.7,0.8175,0.8571,0.7143,0.6611,0.6071,0.5238,0.0489,0.0522,0.138,0.158,0.115,0.08,0.116,0.091,0.0247,0.0137,0.0302,0.1059,0.1482,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.7631,0.8571,0.7143,0.5737,0.5,0.3333,0.0518,0.0292,0.131,0.136,0.098,0.054,0.07,0.057,0.046,0.0137,0.0302,0.1781,0.2532,0.3813,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.1,0.8165,0.9286,0.8095,0.6774,0.6429,0.4286,0.0549,0.0212,0.164,0.183,0.133,0.071,0.088,0.069,0.025,0.0025,0.0107,0.0946,0.1194,0.2389,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.2,0.8167,0.9286,0.8095,0.6832,0.7143,0.5238,0.0549,0.0238,0.165,0.184,0.134,0.072,0.088,0.069,0.0249,0.0025,0.0107,0.0907,0.0713,0.1361,0.0,0.0244,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.3,0.8198,0.8571,0.7143,0.6863,0.6429,0.4286,0.0595,0.0373,0.17,0.188,0.137,0.079,0.104,0.081,0.024,0.0137,0.0302,0.0886,0.1194,0.2389,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.4,0.8163,0.8571,0.7143,0.7093,0.7143,0.5238,0.0631,0.0461,0.172,0.192,0.14,0.085,0.112,0.087,0.0251,0.0137,0.0302,0.0743,0.0713,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.5,0.8148,0.8571,0.7143,0.7258,0.7143,0.5238,0.0624,0.0526,0.172,0.192,0.14,0.094,0.122,0.094,0.0256,0.0137,0.0302,0.0648,0.0713,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.6,0.8193,0.8571,0.7143,0.7007,0.6071,0.5238,0.0554,0.048,0.154,0.173,0.126,0.091,0.124,0.097,0.0241,0.0137,0.0302,0.0795,0.1482,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.7,0.8175,0.8571,0.7143,0.6611,0.6071,0.5238,0.0489,0.0522,0.138,0.158,0.115,0.08,0.116,0.091,0.0247,0.0137,0.0302,0.1059,0.1482,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
